,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
Kazakhstan,"18,776,707","18,551,427","18,319,618","18,080,019","17,830,901","17,572,016","16,252,279","15,402,807","14,922,719","15,839,363","16,383,887","15,665,595","14,796,174","14,050,226","13,036,139","11,841,920","9,934,563","7,932,521"
Zambia,"18,383,955","17,861,030","17,351,708","16,853,599","16,363,458","15,879,361","13,605,984","11,856,247","10,415,944","9,096,607","8,036,845","6,923,149","5,851,825","4,943,283","4,179,067","3,570,464","3,070,776","2,644,976"
Guatemala,"17,915,568","17,581,472","17,247,849","16,914,970","16,583,076","16,252,429","14,630,417","13,096,028","11,650,743","10,408,489","9,263,813","8,240,060","7,283,459","6,433,728","5,621,792","4,869,716","4,210,747","3,625,300"
Ecuador,"17,643,054","17,373,662","17,084,358","16,785,361","16,491,116","16,212,020","15,011,117","13,825,847","12,681,123","11,455,204","10,230,934","9,066,109","7,989,186","6,994,334","6,069,376","5,243,977","4,543,666","3,956,620"
Syria,"17,500,658","17,070,135","16,945,057","17,095,678","17,465,575","17,997,408","21,362,529","18,361,176","16,410,848","14,345,492","12,446,171","10,648,632","8,930,774","7,535,714","6,350,541","5,373,137","4,573,512","3,911,501"
Netherlands,"17,134,872","17,097,130","17,059,560","17,021,347","16,981,295","16,938,499","16,682,917","16,367,158","15,926,188","15,467,851","14,965,448","14,513,949","14,148,415","13,683,291","13,001,943","12,248,344","11,448,817","10,709,630"
Senegal,"16,743,927","16,296,364","15,854,323","15,419,355","14,993,519","14,578,459","12,678,148","11,090,116","9,797,734","8,690,164","7,526,307","6,471,327","5,583,165","4,929,846","4,257,505","3,682,876","3,206,749","2,808,225"
Cambodia,"16,718,965","16,486,542","16,249,792","16,009,409","15,766,292","15,521,436","14,312,212","13,273,354","12,155,239","10,656,138","8,975,597","7,714,880","6,693,764","7,524,447","6,996,576","6,467,197","5,722,370","5,045,288"
Chad,"16,425,864","15,946,876","15,477,729","15,016,753","14,561,660","14,110,975","11,952,136","10,096,633","8,355,654","7,010,145","5,963,252","5,095,401","4,514,430","4,088,564","3,643,604","3,309,586","3,001,609","2,735,198"
Somalia,"15,893,222","15,442,905","15,008,226","14,589,179","14,185,636","13,797,201","12,043,883","10,446,863","8,872,254","7,491,637","7,225,092","6,648,627","6,281,134","3,880,292","3,444,568","3,068,459","2,755,972","2,491,542"
Zimbabwe,"14,862,924","14,645,468","14,438,802","14,236,595","14,030,331","13,814,629","12,697,723","12,076,699","11,881,477","11,410,714","10,432,421","8,877,489","7,408,624","6,293,875","5,289,303","4,471,177","3,776,681","3,213,286"
Guinea,"13,132,795","12,771,246","12,414,293","12,067,519","11,738,429","11,432,088","10,192,176","9,109,581","8,240,730","7,269,625","6,352,283","5,470,702","4,871,435","4,491,248","4,154,605","3,801,705","3,494,162","3,229,649"
Rwanda,"12,952,218","12,626,950","12,301,970","11,980,961","11,668,827","11,369,071","10,039,338","8,840,215","7,933,681","5,836,495","7,288,882","6,146,891","5,153,312","4,364,706","3,757,358","3,235,531","2,935,582","2,527,294"
Benin,"12,123,200","11,801,151","11,485,044","11,175,198","10,872,063","10,575,952","9,199,259","7,982,225","6,865,951","5,905,558","4,978,496","4,278,501","3,717,165","3,265,165","2,912,340","2,632,356","2,431,622","2,303,587"
Burundi,"11,890,784","11,530,580","11,175,374","10,827,019","10,487,995","10,160,030","8,675,602","7,364,862","6,378,871","5,987,043","5,438,957","4,750,837","4,157,298","3,700,880","3,479,074","3,094,379","2,797,932","2,537,157"
Tunisia,"11,818,619","11,694,719","11,565,201","11,433,443","11,303,945","11,179,949","10,635,244","10,106,771","9,708,350","9,125,398","8,242,496","7,329,594","6,374,039","5,656,914","5,063,809","4,547,941","4,178,236","3,943,540"
